tagname,body
"operators","Operators are symbols that occur in nearly all programming and coding languages, for performing calculations and comparisons on data."
"views","This tag is for questions about views, a database construct that allows a user to join several tables together or restrict access to certain data. "
"entity-framework-4.1","This tag is for the ADO.NET Entity Framework 4.1, the first release of EF to ship separately from the .NET framework. It builds upon the core Entity Framework included in .NET 4.0 and was released to the public in March 2011."
"associations","Associations typically refer to relationships between models in ORMs such as ActiveRecord."
"cucumber","Cucumber is a Behavior Driven Development (BDD) tool."
"rewrite","Refers to URL rewriting, or the restructuring of a URL to improve readability and/or search engine optimization (SEO)."
"facebook-fql","Facebook Query Language (FQL) enables you to use a SQL-style interface to query the data exposed by the Graph API. It provides for some advanced features not available in the Graph API such as using the results of one query in another."
"jstl","JSTL (JSP Standard Tag Library) is a JSP based standard tag library which offers tags to control the flow in the JSP page, date/number formatting and internationalization facilities and several utility EL functions.
"
"visual-studio-2005","Visual Studio 2005 is a previous version of Microsoft's Visual Studio integrated development environment product line for .NET-based and C++ development."
"order","Use this tag for specific questions about the order of results"
"png","PNG (portable network graphics) is a bitmapped image format using lossless data compression."
